Year,Prison population total,Prison population rate
1982,84,41
1986,186,81
1993,186,66
1996,307,102
2000,333,101
2002,454,132
2004,463,130
2006,522,142
2008,453,119
2010,379,96
2012,485,119
2014,594,142
2015,565,134
