Year,Prison population total,Prison population rate
1950,2425,35
1955,3253,45
1960,4728,63
1965,5159,67
1970,5250,65
1975,4140,51
1980,4564,55
1985,4339,52
1990,4977,58
1995,5861,66
2000,5326,60
2002,6097,68
2004,7020,78
2006,7196,79
2008,6884,75
2010,6902,74
2012,6558,69
2014,5869,61
2016,5762,58
2017,5979,59
