Year,Prison population total,Prison population rate
1974,688,123
1992,823,110
1995,961,124
1998,908,113
2000,1185,146
2002,897,110
2004,1083,132
2006,1121,135
2008,919,109
2010,1097,127
2012,1397,160
2014,1540,174
2016,1889,210
