Year,Prison population total,Prison population rate
1990,24518,241
1992,33641,330
1995,54869,540
1998,63157,628
2000,56590,566
2002,51238,518
2004,42806,437
2006,45416,468
2008,44399,459
2010,39627,418
2012,28841,305
2016,34600,364
