Year,Prison population total,Prison population rate
1972,13920,112
1976,15482,113
1980,12623,84
1985,27229,157
1992,31400,152
1996,22791,101
2000,14196,58
2002,19368,76
2004,19951,76
2006,19257,70
2008,24069,85
2010,40825,140
2012,45224,150
2014,51256,166
2016,54738,173
