Year,Prison population total,Prison population rate
1972,32505,139
1974,31096,130
1977,34183,132
1980,32549,119
1985,28407,94
1990,32287,96
1995,33258,90
2000,51518,128
2002,52936,127
2004,68020,159
2006,60021,136
2008,69979,155
2010,84444,183
2012,113884,242
2014,113623,237
2016,118532,243
