Year,Prison population total,Prison population rate
1981,4221,130
1991,11238,315
1995,11810,320
2000,14691,384
2002,14705,380
2004,14380,369
2006,13788,351
2008,12130,306
2010,10878,294
2012,12244,338
2014,12327,351
