Year,Prison population total,Prison population rate
1983,57,24
1985,93,38
1990,104,41
1995,119,44
2000,78,28
2002,107,37
2004,115,39
2006,119,39
2008,140,44
2010,165,52
2012,152,47
2014,154,47
2016,124,37
