Year,Prison population total,Prison population rate
1961,11690,113
1995,41893,138
1998,40820,125
2000,45611,135
2002,44063,123
2004,43526,114
2006,43911,109
2008,41613,96
2011,38353,81
2012,33338,68
2014,32315,61
