Year,Prison population total,Prison population rate
1950,98046,392
1955,80920,294
1960,98250,330
1965,80026,254
1970,82436,252
1975,96691,283
1980,99638,279
1985,110182,295
1990,50165,132
1995,61136,160
2000,70544,184
2002,80467,211
2004,80368,211
2006,88647,232
2008,83152,218
2010,80728,210
2012,84156,218
2014,77371,201
2016,71528,189
