Year,Prison population total,Prison population rate
1972,2330,120
1974,2311,117
1982,3254,147
1986,3524,151
1990,3022,126
1995,4193*,168*
1999,4288*,166*
2003,4744,178
2005,4825,180
2007,4709,174
2009,5163,188
2011,4457,161
2013,4112,148
2015,3860,138
