Year,Prison population total,Prison population rate
1972,1900,117
1981,2339,115
1990,3380,135
1995,5607,237
2000,8652,283
2002,10423,328
2004,11400,345
2006,11575,338
2008,9651,272
2010,12293,336
2012,14468,380
2014,15208,388
2016,17165,423
