Year,Prison population total,Prison population rate
1972,24233,97
1976,22436,84
1980,23480,83
1983,26483,89
1992,21016,62
1995,25852,73
2000,37885,102
2002,57632,151
2004,65351,168
2006,60621,152
2008,60611,149
2010,65095,157
2012,66484,157
2015,75769,174
