Year,Prison population total,Prison population rate
1972,1588,81
1980,2361,100
1985,3754,139
1990,3905,127
1995,3490,100
2000,7575,193
2002,8113,198
2004,8890,209
2006,9037,206
2008,9682,214
2010,12110,259
2012,15600,325
2014,18263,370
