Year,Prison population total,Prison population rate
1972,8309,63
1974,12825,96
1986,11451,70
1990,10093,58
1994,10831,60
1997,12739,69
2000,16412,87
2002,17905,93
2004,20661,105
2006,22867,114
2008,26124,128
2010,26984,130
2012,23603,112
2014,19108,89
2016,17478,80
