Year,Prison population total,Prison population rate
1972,43506,77
1976,42943,69
1987,71600,90
1990,93119,110
1995,93574,101
1998,128902,133
2000,154765,156
2002,172888,169
2004,193889,186
2006,210140,197
2008,219754,202
2010,219027,194
2012,239089,206
2014,255638,214
2016,217868,177
