Year,Prison population total,Prison population rate
1950,34593,387
1955,26262,281
1960,25968,271
1965,22271,227
1970,17321,177
1975,25869,256
1980,26133,254
1985,27880,270
1990,8231,80
1995,19508,189
2000,21538,210
2002,16213,159
2004,18343,179
2006,18578,181
2008,20502,196
2010,21900,209
2012,22641,215
2014,18658,177
2016,22481,213
