Year,Prison population total,Prison population rate
1972,10,39
1975,19,74
1980,28,94
1985,15,52
1990,23,75
1995,29,107
2000,18,67
2002,21,74
2004,19,66
2006,30,104
2008,37,126
2010,53,180
2012,63,210
2014,46,139
