Year,Prison population total,Prison population rate
1973,166,231
1982,146,195
1986,182,249
1990,196,276
1995,216,304
1999,298,426
2001,215,307
2002,223,319
2004,290,414
2006,301,424
2008,235,331
2010,295,415
2012,275,382
