Year,Prison population total,Prison population rate
1994,4032,49
1997,4653,53
2000,4894,51
2002,5360,53
2004,6833,65
2006,6363,57
2008,6894,58
2010,7300,59
2012,8428,60
2014,8630,58
2016,9544,61
