Year,Prison population total,Prison population rate
1950,7507,187
1955,6330,149
1960,6818,154
1965,6665,146
1970,5140,111
1975,5452,116
1980,5088,106
1985,4411,90
1990,3441,69
1995,3248,64
2000,2855,55
2002,3433,66
2004,3577,68
2006,3778,72
2008,3526,66
2010,3291,61
2012,3236,60
2014,3097,57
2016,3120,57
