Year,Prison population total,Prison population rate
1975,204,232
1980,128,138
1986,108,115
1990,77,81
1994,87,90
1997,75,77
2000,106,108
2002,110,111
2004,116,116
2006,102,101
2008,106,103
2010,159,152
2012,158,150
