Year,Prison population total,Prison population rate
1993,"59,833",74
1996,"64,680",79
1998,"69,917",85
2000,"70,252",85
2000,"70,252",85
2002,"70,977",86
2004,"79,452",96
2006,"76,629",93
2008,"72,259",88
2010,"69,385",85
2012,"65,889",82
2014,"61,872",76
2016,"62,865",76
