Year,Prison population total,Prison population rate
1980,"10,000",26
1993,"101,801",172
2001,"158,000",237
2001,"158,000",237
2003,"157,267",229
2005,"134,384",192
2007,"148,843",207
2009,"168,516",229
2011,"c 250,000",c 331
2013,"c 226,220",c 294
