Year,Prison population total,Prison population rate
1993,"6,085",268
1996,"6,070",262
1999,"6,414",269
2001,"6,656",275
2002,"7,256",297
2004,"6,400",256
2006,"6,593",258
2008,"7,570",288
2010,"7,044",260
2012,"8,417",300
2014,"8,015",275
2016,"4,506",150
